Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo
2007-06-19,1.3414,1.3435,1.3383,1.3427,0.0008945210585167285,0.00201673140125469,0.005709134615384581,0.00015026296018039176,-0.0041922443479562865,0.0038765468913074933,0.0009691367228269562,0.8461538461538592,0.004233231616107114,0.00336272604991783,0.0005514322334494448,0.0022515968863000423,0.0026739503661571793,49.77876106194692,-0.00016417121340117137,0
2007-06-20,1.3427,1.3437,1.3396,1.3403,-0.0017874432114396432,0.0008945210585167285,0.00201673140125469,0.005709134615384581,0.0006014133213050332,0.003053548819542707,-0.001787443211439605,0.17073170731710882,0.0010456344760625402,0.0023182769967096117,-0.001024838355041191,0.0027805614634359038,0.00268857266999953,44.46902654867267,2.343981752988395e-05,0
2007-06-21,1.3403,1.3408,1.3372,1.3388,-0.0011191524285608656,-0.0017874432114396432,0.0008945210585167285,0.00201673140125469,0.00015026296018039176,0.002685965828545883,-0.0011191524285608123,0.4444444444444513,-0.0012085764163470847,0.0015335702262953,-0.00199407368754545,0.002974036163410893,0.002649593370062606,43.5064935064935,5.946631365233977e-05,1
2007-06-22,1.3389,1.347,1.3381,1.347,0.0061248879593664984,-0.0011191524285608656,-0.0017874432114396432,0.0008945210585167285,0.005709134615384581,0.0066472477406825815,0.006049742325789824,1.0,0.003680908454167353,0.0069296494808368525,0.004013819165707089,0.0031350764558585537,0.002991254760648881,48.11133200795227,0.0006174897948534365,0
2007-06-25,1.3468,1.3473,1.3439,1.3462,-0.0005939123979212813,0.0061248879593664984,-0.0011191524285608656,-0.0017874432114396432,0.00201673140125469,0.002524502524502411,-0.00044550044550039643,0.6764705882353153,0.0023827252419956757,0.005549870403430024,0.00337638912698357,0.003187399996331173,0.0029921192869440437,43.48739495798319,0.0008976720020578846,0
2007-06-26,1.3462,1.3477,1.3432,1.3454,-0.0005942653394741537,-0.0005939123979212813,0.0061248879593664984,-0.0011191524285608656,0.0008945210585167285,0.0033427425345416346,-0.0005942653394741746,0.48888888888889,0.0013844023996307797,0.0038126077192248697,0.002757695460982257,0.0032343205659839556,0.002995020418646382,44.708423326133776,0.0009869750910474935,0
2007-06-27,1.3452,1.3458,1.3416,1.3453,-7.43273375947151e-05,-0.0005942653394741537,-0.0005939123979212813,0.0061248879593664984,-0.0017874432114396432,0.003122212310437261,7.433838834373253e-05,0.880952380952347,0.0005652490814702649,0.0026682169156007074,0.0025934924207420273,0.0030280277247449507,0.002976057887623552,52.538071065989854,0.000994380279987342,0
2007-06-28,1.3452,1.348,1.3423,1.345,-0.00022299858767560465,-7.43273375947151e-05,-0.0005942653394741537,-0.0005939123979212813,-0.0011191524285608656,0.004237288135593249,-0.00014867677668746506,0.4736842105262994,-0.0005795895317214361,0.0014146377782739972,0.0023811209527464516,0.0029142156465171805,0.002949674658226803,61.607142857142954,0.0009350353329972028,1
2007-06-29,1.3448,1.3542,1.3431,1.3541,0.006765799256505556,-0.00022299858767560465,-7.43273375947151e-05,-0.0005942653394741537,0.0061248879593664984,0.008254015466984019,0.006915526472337958,0.9909909909909921,0.005121733966745978,0.007042829625993896,0.008813427998837886,0.003200034039701394,0.0033126709625580027,72.15496368038733,0.0014347185593789025,1
2007-07-02,1.3541,1.3638,1.3528,1.3624,0.006129532530832371,0.006765799256505556,-0.00022299858767560465,-7.43273375947151e-05,-0.0005939123979212813,0.008123476848090908,0.006129532530832268,0.8727272727272856,0.008856372737774398,0.011643103243436093,0.014486818149663794,0.003705997016189859,0.0035104949987401868,86.59090909090907,0.0022042714493759803,0
2007-07-03,1.3624,1.3634,1.3584,1.3608,-0.0011743981209630938,0.006129532530832371,0.006765799256505556,-0.00022299858767560465,-0.0005942653394741537,0.003669994128009317,-0.00117439812096304,0.48000000000000176,0.005378568473314083,0.009098796467264414,0.012978602241386472,0.00383020592563506,0.003493473280043968,83.2589285714285,0.002465813329857107,1
2007-07-04,1.3609,1.363,1.3605,1.3612,0.00029394473838917357,-0.0011743981209630938,0.006129532530832371,0.006765799256505556,-7.43273375947151e-05,0.0018370196193694956,0.0002204423543243199,0.27999999999997516,0.0033168718213312243,0.007833439457434421,0.012865444858658703,0.003776667364475779,0.003465790809466763,83.33333333333326,0.002517248534103741,0
2007-07-05,1.3612,1.3658,1.3579,1.3598,-0.0010285042609462502,0.00029394473838917357,-0.0011743981209630938,0.006129532530832371,-0.00022299858767560465,0.005803702615339257,-0.0010285042609462739,0.24050632911390377,0.00010296691819999815,0.005233899106984241,0.01120295076725153,0.003928439917155628,0.003229417405476672,77.06185567010286,0.002313687512262159,1
2007-07-06,1.3597,1.3641,1.3568,1.3627,0.0021326665686132174,-0.0010285042609462502,0.00029394473838917357,-0.0011743981209630938,0.006765799256505556,0.005368831359858855,0.002206369051996848,0.8082191780821847,0.000969604372034194,0.006209895960244793,0.012399610701257613,0.003023662341039746,0.0030055891512925383,77.17948717948707,0.002230113393704625,0
