Date,Open,Low,High,Close,Retorno_diario,Objetivo
2004-01-01,1.259001851081848,1.2473959922790527,1.2607955932617188,1.2581939697265625,,0
2004-01-02,1.2581939697265625,1.2526932954788208,1.2628016471862793,1.2581939697265625,0.0,1
2004-01-05,1.2639029026031494,1.2636953592300415,1.2694060802459717,1.2686975002288818,0.008348101131498753,1
2004-01-06,1.2689067125320437,1.2672022581100464,1.2808033227920532,1.2721028327941897,0.0026841170292315475,0
2004-01-07,1.272394061088562,1.2624987363815308,1.2739989757537842,1.2640947103500366,-0.006295184821311306,1
2004-01-08,1.2640947103500366,1.256502389907837,1.2787070274353027,1.2774981260299685,0.010603173615227224,1
2004-01-09,1.2774981260299685,1.2712942361831665,1.2867032289505005,1.2858924865722656,0.006570937656389386,0
2004-01-12,1.2848020792007446,1.2738043069839478,1.289706826210022,1.2740962505340576,-0.009173578787797898,1
2004-01-13,1.2744048833847046,1.2718924283981323,1.2797051668167114,1.278592586517334,0.0035290394908482625,0
2004-01-14,1.278805136680603,1.2406023740768433,1.278805136680603,1.2651021480560305,-0.010551006320198564,0
2004-01-15,1.2655985355377195,1.256897211074829,1.2671059370040894,1.260096549987793,-0.003956675021008493,0
2004-01-16,1.260001301765442,1.2363996505737305,1.2610021829605105,1.239802598953247,-0.016105076261610618,0
2004-01-19,1.2386969327926636,1.2340041399002075,1.2424057722091677,1.235406756401062,-0.00354559875571836,1
2004-01-20,1.235101580619812,1.234994888305664,1.2602077722549438,1.2589067220687866,0.019022047229354522,1
2004-01-21,1.25809907913208,1.2565971612930298,1.266993522644043,1.2659028768539429,0.00555732578316781,1
2004-01-22,1.265806794166565,1.2644941806793213,1.2748922109603882,1.2725075483322144,0.005217360351281952,0
2004-01-23,1.272394061088562,1.2570078372955322,1.2775959968566897,1.2583048343658447,-0.011161202135880566,0
2004-01-26,1.2574979066848757,1.2461059093475342,1.2610976696014404,1.2487980127334597,-0.007555261151941939,1
2004-01-27,1.2485953569412231,1.244694471359253,1.2659990787506104,1.2636953592300415,0.011929348337105017,0
2004-01-28,1.2634079456329346,1.242004632949829,1.2643983364105225,1.2441989183425903,-0.0154281178173592,0
2004-01-29,1.2441060543060305,1.2371032238006592,1.2526932954788208,1.2410026788711548,-0.002568913559009789,1
2004-01-30,1.2410026788711548,1.235498309135437,1.2485017776489258,1.2468050718307495,0.0046755684402493,0
2004-02-02,1.2475982904434204,1.23960280418396,1.2482056617736816,1.2433016300201416,-0.002809935482106729,1
2004-02-03,1.2537927627563477,1.250500202178955,1.2561078071594238,1.2534940242767334,0.008197845165236917,1
2004-02-04,1.2545949220657349,1.250500202178955,1.2561078071594238,1.2539970874786377,0.00040132875958032166,1
2004-02-05,1.2537927627563477,1.2523951530456543,1.263599514961243,1.2571974992752075,0.0025521684448284176,1
2004-02-06,1.2570078372955322,1.2518935203552246,1.2726045846939087,1.2700024843215942,0.010185340850398683,0
