Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo,Particion
2004-01-29,1.2441060543060305,1.2526932954788208,1.2371032238006592,1.2410026788711548,-0.0025689135590097,-0.0154281178173592,0.011929348337105,-0.0075552611519419,0.0052173603512819,0.0125311436466385,-0.0024944621273519,0.2501242554232713,-0.008150001724495,-0.0094583763920106,-0.0163611791119837,0.0105562672186657,0.009591390933374,35.78345539017033,-0.0021963510917352,1,entrenamiento
2004-01-30,1.2410026788711548,1.2485017776489258,1.235498309135437,1.2468050718307495,0.0046755684402493,-0.0025689135590097,-0.0154281178173592,0.011929348337105,-0.0111612021358805,0.0104781953616063,0.0046755684402492,0.8695189813074687,-0.0016774252198671,-0.0053829449009946,-0.011315864668472,0.010605037632603,0.0096646138464094,41.01583623929931,-0.0021045730963743,0,entrenamiento
2004-02-02,1.2475982904434204,1.2482056617736816,1.23960280418396,1.2433016300201416,-0.0028099354821067,0.0046755684402493,-0.0025689135590097,-0.0154281178173592,-0.0075552611519419,0.0068955349294876,-0.0034439454239326,0.429953163539617,-0.0036056251007421,-0.0088020109584829,-0.013100280776976,0.0101631776610981,0.0094521418043236,38.30589030901248,-0.0021466946170495,1,entrenamiento
2004-02-03,1.2537927627563477,1.2561078071594238,1.250500202178955,1.2534940242767334,0.0081978451652369,-0.0028099354821067,0.0046755684402493,-0.0025689135590097,0.011929348337105,0.0044725134384576,-0.000238267829013,0.5338860544217687,0.0062079025846424,-0.0002449122193779,-0.0042744277732726,0.0090691679031572,0.0096427565067805,46.06754822681051,-0.0013916046674928,1,entrenamiento
2004-02-04,1.2545949220657349,1.2561078071594238,1.250500202178955,1.2539970874786377,0.0004013287595803,0.0081978451652369,-0.0028099354821067,0.0046755684402493,-0.0154281178173592,0.0044696538156201,-0.0004765160264739,0.6235969387755103,0.005030766908959,0.001106944985822,-0.0034751507904491,0.0047763139128554,0.0095538229433215,47.86868365410409,-0.000791599799166,1,entrenamiento
2004-02-05,1.2537927627563477,1.263599514961243,1.2523951530456543,1.2571974992752075,0.0025521684448284,0.0004013287595803,0.0081978451652369,-0.0028099354821067,-0.0025689135590097,0.0089363746931804,0.0027155496665771,0.428613986743121,0.0049869231420458,0.0048901669125087,-0.0001253287652062,0.0041757526930318,0.0092318752001096,56.90285321780565,-0.000146309800036,1,entrenamiento
2004-02-06,1.2570078372955322,1.2726045846939087,1.2518935203552246,1.2700024843215942,0.0101853408503986,0.0025521684448284,0.0004013287595803,0.0081978451652369,0.0046755684402493,0.0164764798787923,0.0103377613412659,0.8743618227550838,0.0114717712151195,0.0141770556507934,0.0106973771041718,0.0054052780502164,0.0094164704088762,62.869760032922784,0.0011068117701156,0,entrenamiento
2004-02-09,1.2655024528503418,1.2757054567337036,1.2655024528503418,1.2694060802459717,-0.0004696085897353,0.0101853408503986,0.0025521684448284,0.0004013287595803,-0.0028099354821067,0.0080624133603069,0.0030846462500626,0.3825958943322156,0.0068103686278662,0.0120352989716054,0.0104113152745146,0.0047632455751886,0.0091969461978036,54.70808534477138,0.00181745169635,0,entrenamiento
2004-02-10,1.269293189048767,1.2787070274353027,1.26739501953125,1.26850426197052,-0.0007104253630776,-0.0004696085897353,0.0101853408503986,0.0025521684448284,0.0081978451652369,0.0089120527878434,-0.0006215483428523,0.0980588458458036,0.0037052537691351,0.010928743189118,0.0100990492696273,0.0045425332716702,0.0091565962079782,51.233946593443385,0.0021271885578039,1,entrenamiento
2004-02-11,1.268295168876648,1.284703016281128,1.265806794166565,1.2830052375793457,0.0114315545036478,-0.0007104253630776,-0.0004696085897353,0.0101853408503986,0.0004013287595803,0.0148989151565559,0.0115983006666553,0.9101524796073508,0.0105402341586122,0.0193327885401781,0.0209183371134609,0.0058301223861699,0.0091877382017759,54.6324732370657,0.0031475322558939,0,entrenamiento
