Date,Open,High,Low,Close,Retorno_diario,Retorno_lag_1,Retorno_lag_2,Retorno_lag_3,Retorno_lag_5,Rango_diario,Cuerpo_vela,Posicion_cierre,Distancia_MA5,Distancia_MA10,Distancia_MA20,Volatilidad_5,Volatilidad_20,RSI_14,MACD_hist,Objetivo
2004-01-29,1.2441060543060305,1.2526932954788208,1.2371032238006592,1.2410026788711548,-0.0025689135590097,-0.0154281178173592,0.011929348337105,-0.0075552611519419,0.0052173603512819,0.012531143646638591,-0.0024944621273519894,0.2501242554232713,-0.008150001724495093,-0.009458376392010637,-0.01636117911198376,0.01055626721866578,0.00959139093337401,35.78345539017033,-0.00219635109173526,1
2004-01-30,1.2410026788711548,1.2485017776489258,1.235498309135437,1.2468050718307495,0.0046755684402493,-0.0025689135590097,-0.0154281178173592,0.011929348337105,-0.0111612021358805,0.010478195361606334,0.004675568440249234,0.8695189813074687,-0.0016774252198671347,-0.005382944900994668,-0.011315864668472009,0.010605037632603042,0.009664613846409494,41.01583623929931,-0.00210457309637432,0
2004-02-02,1.2475982904434204,1.2482056617736816,1.23960280418396,1.2433016300201416,-0.0028099354821067,0.0046755684402493,-0.0025689135590097,-0.0154281178173592,-0.0075552611519419,0.006895534929487647,-0.003443945423932645,0.429953163539617,-0.003605625100742138,-0.008802010958482986,-0.013100280776976003,0.010163177661098144,0.009452141804323666,38.305890309012476,-0.0021466946170495688,1
2004-02-03,1.2537927627563477,1.2561078071594238,1.250500202178955,1.2534940242767334,0.0081978451652369,-0.0028099354821067,0.0046755684402493,-0.0025689135590097,0.011929348337105,0.0044725134384576825,-0.00023826782901307297,0.5338860544217687,0.006207902584642433,-0.00024491221937794627,-0.004274427773272693,0.009069167903157269,0.009642756506780517,46.06754822681051,-0.0013916046674928295,1
2004-02-04,1.2545949220657349,1.2561078071594238,1.250500202178955,1.2539970874786377,0.0004013287595803,0.0081978451652369,-0.0028099354821067,0.0046755684402493,-0.0154281178173592,0.004469653815620129,-0.0004765160264739572,0.6235969387755103,0.0050307669089590945,0.0011069449858220892,-0.003475150790449133,0.0047763139128554405,0.009553822943321596,47.86868365410409,-0.0007915997991660984,1
2004-02-05,1.2537927627563477,1.263599514961243,1.2523951530456543,1.2571974992752075,0.0025521684448284,0.0004013287595803,0.0081978451652369,-0.0028099354821067,-0.0025689135590097,0.00893637469318043,0.0027155496665771657,0.428613986743121,0.0049869231420458515,0.004890166912508764,-0.00012532876520621183,0.00417575269303183,0.00923187520010964,56.90285321780565,-0.00014630980003609278,1
2004-02-06,1.2570078372955322,1.2726045846939087,1.2518935203552246,1.2700024843215942,0.0101853408503986,0.0025521684448284,0.0004013287595803,0.0081978451652369,0.0046755684402493,0.016476479878792315,0.010337761341265902,0.8743618227550838,0.011471771215119553,0.014177055650793413,0.010697377104171846,0.005405278050216483,0.009416470408876292,62.869760032922784,0.0011068117701156766,0
2004-02-09,1.2655024528503418,1.2757054567337036,1.2655024528503418,1.2694060802459717,-0.0004696085897353,0.0101853408503986,0.0025521684448284,0.0004013287595803,-0.0028099354821067,0.008062413360306954,0.0030846462500626424,0.3825958943322156,0.0068103686278662146,0.01203529897160549,0.010411315274514665,0.004763245575188666,0.009196946197803677,54.70808534477138,0.0018174516963500125,0
2004-02-10,1.269293189048767,1.2787070274353027,1.26739501953125,1.26850426197052,-0.0007104253630776,-0.0004696085897353,0.0101853408503986,0.0025521684448284,0.0081978451652369,0.008912052787843424,-0.0006215483428523772,0.09805884584580365,0.0037052537691351084,0.010928743189118073,0.010099049269627347,0.00454253327167023,0.009156596207978214,51.233946593443385,0.0021271885578039457,1
2004-02-11,1.268295168876648,1.284703016281128,1.265806794166565,1.2830052375793457,0.0114315545036478,-0.0007104253630776,-0.0004696085897353,0.0101853408503986,0.0004013287595803,0.014898915156555958,0.011598300666655325,0.9101524796073508,0.010540234158612272,0.01933278854017817,0.020918337113460916,0.005830122386169927,0.009187738201775984,54.6324732370657,0.0031475322558939273,0
