Date,Open,High,Low,Close,Retorno_diario,Objetivo
2007-11-09,1.4676,1.4751,1.4631,1.4677,6.813845734532364e-05,0
2007-11-12,1.4675,1.4675,1.4525,1.4531,-0.009947536962594539,1
2007-11-13,1.4531,1.4632,1.452,1.4603,0.004954923955680979,1
2007-11-14,1.4603,1.4725,1.4599,1.4649,0.0031500376634938654,0
2007-11-15,1.4647,1.4703,1.4605,1.4612,-0.002525769677111045,1
2007-11-16,1.4612,1.4671,1.4581,1.4662,0.003421845058855677,1
2007-11-19,1.467,1.4687,1.4617,1.4665,0.0002046105579047719,1
2007-11-20,1.4663,1.4851,1.4634,1.4836,0.011660415956358694,1
2007-11-21,1.484,1.487,1.4775,1.4858,0.0014828794823402713,0
2007-11-22,1.4856,1.4872,1.4819,1.485,-0.0005384304751648861,0
2007-11-23,1.4847,1.4966,1.4785,1.4835,-0.0010101010101010166,1
2007-11-26,1.482,1.4891,1.4803,1.487,0.0023592854735423607,0
2007-11-27,1.487,1.4907,1.4808,1.4831,-0.002622730329522538,1
2007-11-28,1.4827,1.4858,1.4708,1.4839,0.0005394106938170218,0
2007-11-29,1.484,1.4843,1.4719,1.4743,-0.006469438641417913,0
2007-11-30,1.4743,1.4783,1.4627,1.4632,-0.007528996812046329,1
2007-12-03,1.4639,1.4707,1.4621,1.4666,0.002323674138873688,1
2007-12-04,1.4667,1.4768,1.4635,1.4762,0.0065457520796399216,0
2007-12-05,1.4759,1.477,1.4591,1.4609,-0.010364449261617614,1
2007-12-06,1.4609,1.4652,1.4526,1.4635,0.0017797248271613775,1
2007-12-07,1.4636,1.467,1.4599,1.4656,0.00143491629654946,1
2007-12-10,1.4654,1.4735,1.4639,1.4711,0.003752729257642029,0
2007-12-11,1.4711,1.4749,1.4639,1.4654,-0.0038746516212357918,1
2007-12-12,1.4654,1.4747,1.4649,1.4707,0.003616759929029545,0
2007-12-13,1.4704,1.4736,1.4581,1.4632,-0.005099612429455225,0
2007-12-14,1.4632,1.4657,1.4411,1.4429,-0.013873701476216471,0
2007-12-17,1.439,1.4453,1.433,1.4398,-0.0021484510361079456,1
2007-12-18,1.4398,1.4435,1.4365,1.4416,0.0012501736352270587,0
2007-12-19,1.4412,1.4423,1.4325,1.438,-0.002497225305216455,0
2007-12-20,1.4384,1.4387,1.4309,1.433,-0.003477051460361591,1
2007-12-21,1.4329,1.441,1.4314,1.4376,0.003210048848569347,1
2007-12-24,1.4376,1.4413,1.4358,1.4393,0.00118252643294392,1
2007-12-25,1.4394,1.4413,1.4387,1.4401,0.0005558257486277807,1
2007-12-26,1.4392,1.4506,1.4389,1.4488,0.006041247135615713,1
2007-12-27,1.4487,1.4639,1.4468,1.4624,0.009387078961899498,1
2007-12-28,1.4626,1.4725,1.459,1.4712,0.00601750547045965,0
2007-12-31,1.4714,1.4747,1.4568,1.4584,-0.008700380641653127,1
2008-01-01,1.4587,1.4617,1.4575,1.459,0.0004114097641252368,1
2008-01-02,1.4592,1.4749,1.4583,1.4722,0.009047292666209739,1
2008-01-03,1.4715,1.4779,1.4686,1.4748,0.001766064393424971,1
2008-01-04,1.475,1.4823,1.4693,1.4772,0.0016273393002441683,0
2008-01-07,1.4746,1.4756,1.4657,1.4695,-0.00521256431085837,1
2008-01-08,1.4695,1.474,1.4678,1.4706,0.0007485539299081356,0
2008-01-09,1.4707,1.4742,1.4639,1.4657,-0.0033319733442132016,1
2008-01-10,1.4681,1.4811,1.4638,1.4804,0.010029337517909465,0
2008-01-11,1.4803,1.4818,1.4763,1.4776,-0.0018913807079167233,1
2008-01-14,1.4781,1.4914,1.4779,1.4865,0.006023280996209968,0
2008-01-15,1.4869,1.4918,1.4799,1.4804,-0.004103599058190355,0
2008-01-16,1.4802,1.4857,1.4599,1.465,-0.010402593893542145,0
2008-01-17,1.4652,1.471,1.459,1.464,-0.0006825938566553669,0
2008-01-18,1.4641,1.4693,1.46,1.4619,-0.0014344262295081789,0
2008-01-21,1.4602,1.4604,1.4424,1.4452,-0.01142348997879472,1
2008-01-22,1.4453,1.4641,1.4366,1.4627,0.012109050650428888,1
2008-01-23,1.4628,1.4684,1.4509,1.4629,0.00013673343816233974,1
2008-01-24,1.4628,1.4778,1.459,1.4756,0.008681386287511028,0
2008-01-25,1.4753,1.4776,1.4658,1.4676,-0.005421523448088883,1
2008-01-28,1.4671,1.4797,1.4662,1.4782,0.007222676478604528,0
2008-01-29,1.4779,1.4796,1.4735,1.4775,-0.00047354891083750683,1
2008-01-30,1.4774,1.4905,1.4754,1.486,0.005752961082910346,0
2008-01-31,1.4861,1.4914,1.4801,1.4858,-0.00013458950201883368,0
2008-02-01,1.486,1.494,1.4786,1.4804,-0.0036344057073630642,1
2008-02-04,1.4799,1.4847,1.4792,1.4827,0.0015536341529316378,0
2008-02-05,1.483,1.4834,1.462,1.4644,-0.012342348418425853,0
2008-02-06,1.4647,1.467,1.4591,1.463,-0.0009560229445505497,0
2008-02-07,1.4632,1.465,1.444,1.4479,-0.010321257689678842,1
2008-02-08,1.4485,1.4545,1.4448,1.4507,0.0019338352096140987,1
2008-02-11,1.4516,1.4577,1.448,1.4518,0.000758254635693012,1
2008-02-12,1.4517,1.4613,1.4495,1.4578,0.004132800661248215,0
2008-02-13,1.4581,1.4596,1.4532,1.4569,-0.0006173686376731435,1
2008-02-14,1.4559,1.4645,1.4559,1.4636,0.004598805683300178,1
2008-02-15,1.4641,1.4708,1.463,1.4678,0.002869636512708329,0
2008-02-18,1.468,1.469,1.461,1.4654,-0.0016351001498841056,1
2008-02-19,1.4657,1.4757,1.464,1.4727,0.004981574996587801,0
2008-02-20,1.4724,1.473,1.4616,1.471,-0.0011543423643646245,1
2008-02-21,1.4713,1.4835,1.4702,1.4809,0.006730115567641137,1
2008-02-22,1.4813,1.4859,1.4787,1.4823,0.0009453710581401875,1
2008-02-25,1.4837,1.4843,1.4793,1.4829,0.0004047763610606214,1
2008-02-26,1.4828,1.4984,1.4779,1.4972,0.009643266572257003,1
2008-02-27,1.4972,1.5143,1.497,1.5122,0.010018701576275602,1
2008-02-28,1.5118,1.5228,1.5074,1.5196,0.004893532601507822,0
2008-02-29,1.5192,1.5238,1.5144,1.5189,-0.0004606475388261311,1
2008-03-03,1.5194,1.5271,1.516,1.5204,0.000987556784515231,1
2008-03-04,1.5202,1.5248,1.5172,1.5215,0.0007234938174165428,1
2008-03-05,1.5216,1.5297,1.5146,1.5262,0.00308905685179095,1
2008-03-06,1.5263,1.5394,1.526,1.5387,0.008190276503734717,0
2008-03-07,1.5379,1.5451,1.5316,1.5347,-0.0025995970624552722,1
2008-03-10,1.5359,1.5403,1.5312,1.5351,0.000260637258095997,0
2008-03-11,1.5348,1.5495,1.5281,1.5337,-0.0009119927040582843,1
2008-03-12,1.5338,1.5572,1.5333,1.556,0.014540001304035988,1
2008-03-13,1.5563,1.5645,1.5521,1.5624,0.004113110539845755,1
2008-03-14,1.5626,1.5687,1.5531,1.5673,0.0031362007168458383,1
2008-03-17,1.5722,1.5903,1.5684,1.5731,0.00370063165954182,0
2008-03-18,1.573,1.5831,1.5618,1.562,-0.007056131205899097,1
2008-03-19,1.562,1.5782,1.5582,1.5645,0.0016005121638924535,0
2008-03-20,1.5631,1.5649,1.5396,1.543,-0.013742409715564174,1
2008-03-21,1.5425,1.5472,1.5405,1.5432,0.00012961762799745813,0
2008-03-24,1.5438,1.5453,1.5341,1.5431,-6.480041472267661e-05,1
2008-03-25,1.5422,1.5656,1.5407,1.5649,0.014127405871298127,1
2008-03-26,1.5647,1.5857,1.5584,1.5845,0.012524761965620801,0
2008-03-27,1.5842,1.5845,1.5726,1.5777,-0.004291574629220474,1
2008-03-28,1.5776,1.5837,1.5741,1.5795,0.0011409013120364797,0
2008-03-31,1.58,1.5894,1.576,1.5762,-0.002089268755935292,0
2008-04-01,1.5761,1.5785,1.5564,1.5619,-0.009072452734424585,1
2008-04-02,1.5611,1.5701,1.5533,1.569,0.004545745566297388,0
2008-04-03,1.5685,1.5687,1.5511,1.5682,-0.000509878903760308,1
2008-04-04,1.5681,1.5772,1.5638,1.5737,0.0035072057135570045,0
2008-04-07,1.5733,1.5735,1.5627,1.5704,-0.002096968926733278,0
2008-04-08,1.5703,1.5798,1.5674,1.5703,-6.367804381046671e-05,1
2008-04-09,1.5704,1.5863,1.5683,1.5835,0.008406037062981486,0
2008-04-10,1.5833,1.5908,1.5725,1.5743,-0.005809914745816158,1
2008-04-11,1.5742,1.5842,1.5738,1.5806,0.0040017785682524565,1
2008-04-14,1.5755,1.5885,1.5671,1.5836,0.0018980134126280745,0
2008-04-15,1.5835,1.5873,1.5751,1.5789,-0.002967921192220224,1
2008-04-16,1.5787,1.5977,1.5758,1.5942,0.009690290708721294,0
2008-04-17,1.5941,1.598,1.5847,1.5893,-0.003073641952076378,0
2008-04-18,1.5891,1.5955,1.5711,1.5816,-0.0048449002705593935,1
2008-04-21,1.5812,1.5946,1.5791,1.5907,0.005753667172483601,1
2008-04-22,1.5908,1.6017,1.5834,1.5996,0.005595021059910721,0
2008-04-23,1.5996,1.5997,1.586,1.5884,-0.007001750437609311,0
2008-04-24,1.5883,1.589,1.5637,1.5678,-0.012969025434399373,0
2008-04-25,1.5678,1.5706,1.5555,1.5629,-0.0031253986477868256,1
2008-04-28,1.5621,1.569,1.5593,1.5653,0.001535606884637497,0
2008-04-29,1.5653,1.5659,1.554,1.5565,-0.005621925509486925,1
2008-04-30,1.5565,1.5641,1.5517,1.5618,0.0034050754898811153,0
2008-05-01,1.5619,1.5643,1.543,1.5468,-0.009604302727622027,0
2008-05-02,1.5468,1.5498,1.5362,1.5424,-0.0028445823635893097,1
2008-05-05,1.5427,1.5518,1.5423,1.5497,0.004732883817427425,1
2008-05-06,1.5497,1.5593,1.5453,1.5531,0.002193973027037499,0
2008-05-07,1.5532,1.5538,1.5366,1.5395,-0.008756680188011012,1
2008-05-08,1.5395,1.5439,1.5289,1.5403,0.0005196492367651739,1
